	Page	Edits	Editors	Views	Mobile %	Yago	Freebase	Wikidata
158	Mila Kunis	138	50	4567857	79.37	<http://yago-knowledge.org/resource/Mila_Kunis>	/m/023v4_	Q37628
159	Rachel Weisz	198	104	4565899	77.67	<http://yago-knowledge.org/resource/Rachel_Weisz>	/m/014x77	Q134077
160	American Civil War	386	112	4541782	61.86	<http://yago-knowledge.org/resource/American_Civil_War>	/m/0kbq	Q8676
161	Nicole Kidman	575	209	4537648	78.15	<http://yago-knowledge.org/resource/Nicole_Kidman>	/m/05dbf	Q37459
162	English language	207	113	4531837	58.25	<http://yago-knowledge.org/resource/English_language>	/m/02h40lc	Q1860
163	Carey Mulligan	263	116	4520695	76.07	<http://yago-knowledge.org/resource/Carey_Mulligan>	/m/0bwgc_	Q219655
164	Manchester City F.C.	344	122	4517171	66.34	<http://yago-knowledge.org/resource/Manchester_City_F.C.>	/m/01634x	Q50602
165	George Harrison	305	139	4512410	70.16	<http://yago-knowledge.org/resource/George_Harrison>	/m/03bnv	Q2643
166	George Washington	473	139	4501123	62.84	<http://yago-knowledge.org/resource/George_Washington>	/m/034rd	Q23
167	Quentin Tarantino	396	229	4498512	67.23	<http://yago-knowledge.org/resource/Quentin_Tarantino>	/m/0693l	Q3772
168	Alexander the Great	471	136	4488392	66.31	<http://yago-knowledge.org/resource/Alexander_the_Great>	/m/0jrg	Q8409
169	England national football team	751	277	4487225	65.39	<http://yago-knowledge.org/resource/England_national_football_team>	/m/02pp1	Q47762
170	Napoleon	337	177	4478836	60.44	<http://yago-knowledge.org/resource/Napoleon>	/m/0j5b8	Q517
171	Netherlands	609	304	4449292	53.49	<http://yago-knowledge.org/resource/Netherlands>	/m/059j2	Q55
172	Andhra Pradesh	368	188	4425859	87.31	<http://yago-knowledge.org/resource/Andhra_Pradesh>	/m/0yyh	Q1159
173	Julia Roberts	100	33	4419720	80.19	<http://yago-knowledge.org/resource/Julia_Roberts>	/m/046zh	Q40523
174	Val Kilmer	143	98	4419074	79.29	<http://yago-knowledge.org/resource/Val_Kilmer>	/m/0d_84	Q191084
175	Marilyn Manson	369	89	4408568	75.09	<http://yago-knowledge.org/resource/Marilyn_Manson>	/m/03h502k	Q186327
176	Nelson Mandela	141	72	4406285	69.51	<http://yago-knowledge.org/resource/Nelson_Mandela>	/m/05g7q	Q8023
177	Dilip Kumar	698	274	4400552	87.6	<http://yago-knowledge.org/resource/Dilip_Kumar>	/m/023sng	Q377789
178	Frank Sinatra	391	202	4395168	71.2	<http://yago-knowledge.org/resource/Frank_Sinatra>	/m/02_fj	Q40912
179	New Zealand	200	88	4395063	57.58	<http://yago-knowledge.org/resource/New_Zealand>	/m/0ctw_b	Q664
180	Brittany Murphy	45	31	4394647	82.6	<http://yago-knowledge.org/resource/Brittany_Murphy>	/m/0168dy	Q168847
181	Bill Clinton	366	158	4383710	67.37	<http://yago-knowledge.org/resource/Bill_Clinton>	/m/0157m	Q1124
182	Nicki Minaj	1336	171	4373176	77.28	<http://yago-knowledge.org/resource/Nicki_Minaj>	/m/047sxrj	Q162202
183	Drake (musician)	525	143	4371492	72.46	<http://yago-knowledge.org/resource/Drake_(musician)>	/m/05mt_q	Q33240
184	Neymar	290	86	4321722	78.85	<http://yago-knowledge.org/resource/Neymar>	/m/03m5111	Q142794
185	Tamil Nadu	454	227	4316660	83.99	<http://yago-knowledge.org/resource/Tamil_Nadu>	/m/07c98	Q1445
